REEF_ID,REEF,YEAR,SECTOR,SHELF,CHANGE.SCORE,COVER.SCORE,JUVENILE.SCORE,COVER.SCORE_Grade,JUVENILE.SCORE_Grade,CHANGE.SCORE_Grade
18086,Chicken Reef,2005,TO,O,NA,0.339521468,NA,D,NA,NA
18086,Chicken Reef,2006,TO,O,0,0.301341216,NA,D,NA,E
18086,Chicken Reef,2007,TO,O,0.305187046,0.349379441,0.925640969,D,A,D
18086,Chicken Reef,2008,TO,O,0.203458031,0.334891293,0.863524632,D,A,D
18086,Chicken Reef,2009,TO,O,0.288023311,0.382222222,0.73621768,D,B,D
18086,Chicken Reef,2010,TO,O,0.288023311,0.378802903,0.92845638,D,A,D
18086,Chicken Reef,2011,TO,O,0.18057305,0.168444444,0.481057831,E,C,E
18086,Chicken Reef,2012,TO,O,0.209254481,0.128238482,1,E,A,D
18086,Chicken Reef,2013,TO,O,0.224030689,0.214700168,1,D,A,D
18086,Chicken Reef,2014,TO,O,0.43316215,0.256444444,1,D,A,C
18086,Chicken Reef,2015,TO,O,0.458543463,0.297042993,1,D,A,C
18086,Chicken Reef,2016,TO,O,0.594207033,0.341777778,1,D,A,C
18086,Chicken Reef,2017,TO,O,0.633834558,0.390222222,1,D,A,B
18086,Chicken Reef,2018,TO,O,0.602925568,0.455111111,1,C,A,B
18086,Chicken Reef,2019,NA,NA,0.625671624,0.455111111,1,C,A,B
18086,Chicken Reef,2020,TO,O,0.592802854,0.596140602,1,C,A,C
18086,Chicken Reef,2021,TO,O,0.597451212,0.669421552,1,B,A,C
18086,Chicken Reef,2022,TO,O,0.535481054,0.70877197,1,B,A,C
18086,Chicken Reef,2023,TO,O,0.535481054,0.732222481,1,B,A,C
18086,Chicken Reef,2024,TO,O,0.53817545,0.668705116,1,B,A,C
18086,Chicken Reef,2025,TO,O,0.313928419,0.6425612,1,B,A,D
18096,Davies Reef,2005,TO,M,NA,0.44019947,NA,C,NA,NA
18096,Davies Reef,2006,NA,NA,NA,0.44019947,NA,C,NA,NA
18096,Davies Reef,2007,TO,M,0,0.391254505,0.934931535,D,A,E
18096,Davies Reef,2008,NA,NA,0,0.391254505,0.934931535,D,A,E
18096,Davies Reef,2009,TO,M,0.243732242,0.451555556,0.695796435,C,B,D
18096,Davies Reef,2010,NA,NA,0.243732242,0.451555556,0.695796435,C,B,D
18096,Davies Reef,2011,TO,M,0.487464483,0.272444444,0.477854743,D,C,C
18096,Davies Reef,2012,NA,NA,0.487464483,0.272444444,0.477854743,D,C,C
18096,Davies Reef,2013,TO,M,0.559053849,0.373449773,1,D,A,C
18096,Davies Reef,2014,NA,NA,0.559053849,0.373449773,1,D,A,C
18096,Davies Reef,2015,TO,M,0.559053849,0.377777778,1,D,A,C
18096,Davies Reef,2016,NA,NA,0.559053849,0.377777778,1,D,A,C
18096,Davies Reef,2017,TO,M,0.475434852,0.422222222,1,C,A,C
18096,Davies Reef,2018,NA,NA,0.475434852,0.422222222,1,C,A,C
18096,Davies Reef,2019,TO,M,0.508430156,0.582197373,1,C,A,C
18096,Davies Reef,2020,NA,NA,0.508430156,0.582197373,1,C,A,C
18096,Davies Reef,2021,TO,M,0.370143582,0.555681573,1,C,A,D
18096,Davies Reef,2022,TO,M,0.353568122,0.559190372,1,C,A,D
18096,Davies Reef,2023,TO,M,0.259639453,0.508963091,1,C,A,D
18096,Davies Reef,2024,TO,M,0.392620655,0.528466679,1,C,A,D
18096,Davies Reef,2025,TO,M,0.452297212,0.543325159,1,C,A,C
18039,Dip Reef,2005,TO,O,NA,0.499614408,NA,C,NA,NA
18039,Dip Reef,2006,NA,NA,NA,0.499614408,NA,C,NA,NA
18039,Dip Reef,2007,TO,O,NA,0.33062495,0.532816051,D,C,NA
18039,Dip Reef,2008,NA,NA,NA,0.33062495,0.532816051,D,C,NA
18039,Dip Reef,2009,TO,O,0.475087118,0.369011725,0.628382202,D,B,C
18039,Dip Reef,2010,NA,NA,0.475087118,0.369011725,0.628382202,D,B,C
18039,Dip Reef,2011,TO,O,0.475087118,0.148,0.218108075,E,D,C
18039,Dip Reef,2012,NA,NA,0.475087118,0.148,0.218108075,E,D,C
18039,Dip Reef,2013,TO,O,0.215674887,0.158666667,1,E,A,D
18039,Dip Reef,2014,NA,NA,0.215674887,0.158666667,1,E,A,D
18039,Dip Reef,2015,TO,O,0.349911423,0.20361809,1,D,A,D
18039,Dip Reef,2016,NA,NA,0.349911423,0.20361809,1,D,A,D
18039,Dip Reef,2017,TO,O,0.498207401,0.275111111,1,D,A,C
18039,Dip Reef,2018,NA,NA,0.498207401,0.275111111,1,D,A,C
18039,Dip Reef,2019,TO,O,0.375817988,0.305401482,1,D,A,D
18039,Dip Reef,2020,NA,NA,0.375817988,0.305401482,1,D,A,D
18039,Dip Reef,2021,TO,O,0.37801822,0.398701188,1,D,A,D
18039,Dip Reef,2022,TO,O,0.485271109,0.47331501,1,C,A,C
18039,Dip Reef,2023,TO,O,0.608222097,0.426437196,0.768834818,C,B,B
18039,Dip Reef,2024,TO,O,0.608222097,0.411341559,0.691540374,C,B,B
18039,Dip Reef,2025,TO,O,0.49041747,0.438777774,0.959831218,C,A,C
18076,Helix Reef,2005,NA,NA,NA,NA,NA,NA,NA,NA
18076,Helix Reef,2006,TO,M,NA,0.346608086,NA,D,NA,NA
18076,Helix Reef,2007,NA,NA,NA,0.346608086,NA,D,NA,NA
18076,Helix Reef,2008,TO,M,NA,0.252328604,0.894063946,D,A,NA
18076,Helix Reef,2009,NA,NA,NA,0.252328604,0.894063946,D,A,NA
18076,Helix Reef,2010,TO,M,0.488340923,0.306636414,0.796279506,D,B,C
18076,Helix Reef,2011,NA,NA,0.488340923,0.306636414,0.796279506,D,B,C
18076,Helix Reef,2012,TO,M,0.488340923,0.114222222,0.450712204,E,C,C
18076,Helix Reef,2013,NA,NA,0.488340923,0.114222222,0.450712204,E,C,C
18076,Helix Reef,2014,TO,M,0.789376741,0.233333333,1,D,A,B
18076,Helix Reef,2015,NA,NA,0.789376741,0.233333333,1,D,A,B
18076,Helix Reef,2016,TO,M,0.751011556,0.389777778,1,D,A,B
18076,Helix Reef,2017,NA,NA,0.751011556,0.389777778,1,D,A,B
18076,Helix Reef,2018,TO,M,0.601900869,0.522798437,1,C,A,B
18076,Helix Reef,2019,NA,NA,0.601900869,0.522798437,1,C,A,B
18076,Helix Reef,2020,TO,M,0.491155367,0.438887958,1,C,A,C
18076,Helix Reef,2021,NA,NA,0.491155367,0.438887958,1,C,A,C
18076,Helix Reef,2022,NA,NA,0.491155367,0.438887958,1,C,A,C
18076,Helix Reef,2023,TO,M,0.269145655,0.44815878,1,C,A,D
18076,Helix Reef,2024,TO,M,0.269145655,0.399508688,0.966460287,D,A,D
18076,Helix Reef,2025,TO,M,0.134572828,0.343728216,1,D,A,E
18075,John Brewer Reef,2005,TO,M,NA,0.040103483,NA,E,NA,NA
18075,John Brewer Reef,2006,NA,NA,NA,0.040103483,NA,E,NA,NA
18075,John Brewer Reef,2007,TO,M,0,0.037853984,0.213565701,E,D,E
18075,John Brewer Reef,2008,NA,NA,0,0.037853984,0.213565701,E,D,E
18075,John Brewer Reef,2009,TO,M,0.447062063,0.077809045,0.584792273,E,C,C
18075,John Brewer Reef,2010,NA,NA,0.447062063,0.077809045,0.584792273,E,C,C
18075,John Brewer Reef,2011,TO,M,0.700450264,0.104,0.402026687,E,C,B
18075,John Brewer Reef,2012,NA,NA,0.700450264,0.104,0.402026687,E,C,B
18075,John Brewer Reef,2013,TO,M,0.535498583,0.172444444,1,E,A,C
18075,John Brewer Reef,2014,NA,NA,0.535498583,0.172444444,1,E,A,C
18075,John Brewer Reef,2015,TO,M,0.71990094,0.388,1,D,A,B
18075,John Brewer Reef,2016,NA,NA,0.71990094,0.388,1,D,A,B
18075,John Brewer Reef,2017,TO,M,0.613985286,0.395555556,1,D,A,B
18075,John Brewer Reef,2018,NA,NA,0.613985286,0.395555556,1,D,A,B
18075,John Brewer Reef,2019,TO,M,0.352389455,0.19898901,0.496928316,E,C,D
18075,John Brewer Reef,2020,TO,M,0.352389455,0.164662393,0.739153776,E,B,D
18075,John Brewer Reef,2021,TO,M,0.709136042,0.203811381,0.846258233,D,A,B
18075,John Brewer Reef,2022,TO,M,0.517474035,0.177719827,0.740954835,E,B,C
18075,John Brewer Reef,2023,TO,M,0.456112812,0.183521679,0.634192974,E,B,C
18075,John Brewer Reef,2024,TO,M,0.507054002,0.228917544,0.780415661,D,B,C
18075,John Brewer Reef,2025,TO,M,0.453204721,0.243255264,0.971804166,D,A,C
18030,Kelso Reef,2005,NA,NA,NA,NA,NA,NA,NA,NA
18030,Kelso Reef,2006,TO,M,NA,0.165166063,NA,E,NA,NA
18030,Kelso Reef,2007,NA,NA,NA,0.165166063,NA,E,NA,NA
18030,Kelso Reef,2008,TO,M,0.470056508,0.179823187,1,E,A,C
18030,Kelso Reef,2009,NA,NA,0.470056508,0.179823187,1,E,A,C
18030,Kelso Reef,2010,TO,M,0.433352858,0.283810162,1,D,A,C
18030,Kelso Reef,2011,NA,NA,0.433352858,0.283810162,1,D,A,C
18030,Kelso Reef,2012,TO,M,0.396649209,0.162222222,0.654717192,E,B,D
18030,Kelso Reef,2013,NA,NA,0.396649209,0.162222222,0.654717192,E,B,D
18030,Kelso Reef,2014,TO,M,0.482169919,0.193333333,1,E,A,C
18030,Kelso Reef,2015,NA,NA,0.482169919,0.193333333,1,E,A,C
18030,Kelso Reef,2016,TO,M,0.60430391,0.359111111,1,D,A,B
18030,Kelso Reef,2017,NA,NA,0.60430391,0.359111111,1,D,A,B
18030,Kelso Reef,2018,TO,M,0.726437901,0.282023451,1,D,A,B
18030,Kelso Reef,2019,NA,NA,0.726437901,0.282023451,1,D,A,B
18030,Kelso Reef,2020,TO,M,0.508155072,0.383487553,1,D,A,C
18030,Kelso Reef,2021,NA,NA,0.508155072,0.383487553,1,D,A,C
18030,Kelso Reef,2022,TO,M,0.479670702,0.371039559,1,D,A,C
18030,Kelso Reef,2023,TO,M,0.479670702,0.38157635,1,D,A,C
18030,Kelso Reef,2024,TO,M,0.451186332,0.352552863,1,D,A,C
18030,Kelso Reef,2025,TO,M,0.312973709,0.341152384,1,D,A,D
18081,Knife Reef,2005,NA,NA,NA,NA,NA,NA,NA,NA
18081,Knife Reef,2006,TO,O,NA,0.448606755,NA,C,NA,NA
18081,Knife Reef,2007,NA,NA,NA,0.448606755,NA,C,NA,NA
18081,Knife Reef,2008,TO,O,0,0.417012941,1,C,A,E
18081,Knife Reef,2009,NA,NA,0,0.417012941,1,C,A,E
18081,Knife Reef,2010,TO,O,0.158775042,0.436444444,1,C,A,E
18081,Knife Reef,2011,NA,NA,0.158775042,0.436444444,1,C,A,E
18081,Knife Reef,2012,TO,O,0.317550083,0.149777778,0.7329675,E,B,D
18081,Knife Reef,2013,NA,NA,0.317550083,0.149777778,0.7329675,E,B,D
18081,Knife Reef,2014,TO,O,0.555802369,0.236444444,1,D,A,C
18081,Knife Reef,2015,NA,NA,0.555802369,0.236444444,1,D,A,C
18081,Knife Reef,2016,TO,O,0.68289534,0.386666667,1,D,A,B
18081,Knife Reef,2017,NA,NA,0.68289534,0.386666667,1,D,A,B
18081,Knife Reef,2018,TO,O,0.563146905,0.477592406,1,C,A,C
18081,Knife Reef,2019,NA,NA,0.563146905,0.477592406,1,C,A,C
18081,Knife Reef,2020,TO,O,0.315346255,0.59236044,1,C,A,D
18081,Knife Reef,2021,NA,NA,0.315346255,0.59236044,1,C,A,D
18081,Knife Reef,2022,TO,O,0.487985996,0.705984769,1,B,A,C
18081,Knife Reef,2023,TO,O,0.487985996,0.704434426,1,B,A,C
18081,Knife Reef,2024,TO,O,0.66158498,0.624362589,1,B,A,B
18081,Knife Reef,2025,TO,O,0.468239726,0.615130751,1,B,A,C
18034,Myrmidon Reef,2005,TO,O,NA,0.478297886,NA,C,NA,NA
18034,Myrmidon Reef,2006,NA,NA,NA,0.478297886,NA,C,NA,NA
18034,Myrmidon Reef,2007,TO,O,NA,0.420664983,1,C,A,NA
18034,Myrmidon Reef,2008,NA,NA,NA,0.420664983,1,C,A,NA
18034,Myrmidon Reef,2009,TO,O,0.518008598,0.482558923,1,C,A,C
18034,Myrmidon Reef,2010,NA,NA,0.518008598,0.482558923,1,C,A,C
18034,Myrmidon Reef,2011,TO,O,0.518008598,0.306805137,0.478259768,D,C,C
18034,Myrmidon Reef,2012,NA,NA,0.518008598,0.306805137,0.478259768,D,C,C
18034,Myrmidon Reef,2013,TO,O,0.424676553,0.346222222,1,D,A,C
18034,Myrmidon Reef,2014,NA,NA,0.424676553,0.346222222,1,D,A,C
18034,Myrmidon Reef,2015,TO,O,0.266235912,0.403578348,1,C,A,D
18034,Myrmidon Reef,2016,NA,NA,0.266235912,0.403578348,1,C,A,D
18034,Myrmidon Reef,2017,TO,O,0.129983251,0.391555556,1,D,A,E
18034,Myrmidon Reef,2018,NA,NA,0.129983251,0.391555556,1,D,A,E
18034,Myrmidon Reef,2019,TO,O,0.309946316,0.483293309,1,C,A,D
18034,Myrmidon Reef,2020,TO,O,0.470229244,0.503307281,0.788125313,C,B,C
18034,Myrmidon Reef,2021,TO,O,0.518015294,0.546344975,1,C,A,C
18034,Myrmidon Reef,2022,TO,O,0.509952882,0.583081286,1,C,A,C
18034,Myrmidon Reef,2023,TO,O,0.516554542,0.636218848,1,B,A,C
18034,Myrmidon Reef,2024,TO,O,0.425141023,0.584183974,1,C,A,C
18034,Myrmidon Reef,2025,TO,O,0.526967548,0.649775563,1,B,A,C
18032,Rib Reef,2005,TO,M,NA,0.172091569,NA,E,NA,NA
18032,Rib Reef,2006,TO,M,0.760588269,0.184888889,NA,E,NA,B
18032,Rib Reef,2007,TO,M,0.509879502,0.131593523,0.534911677,E,C,C
18032,Rib Reef,2008,TO,M,0.641653326,0.18964704,0.892656804,E,A,B
18032,Rib Reef,2009,TO,M,0.655412272,0.285078727,0.9233621,D,A,B
18032,Rib Reef,2010,TO,M,0.675927518,0.376,1,D,A,B
18032,Rib Reef,2011,TO,M,0.814846445,0.135173646,0.382323641,E,D,A
18032,Rib Reef,2012,TO,M,0.678688931,0.156205962,0.753242266,E,B,B
18032,Rib Reef,2013,TO,M,0.699081723,0.244,1,D,A,B
18032,Rib Reef,2014,TO,M,0.667879171,0.282222222,1,D,A,B
18032,Rib Reef,2015,TO,M,0.748666268,0.523555556,1,C,A,B
18032,Rib Reef,2016,TO,M,0.704929564,0.556682379,1,C,A,B
18032,Rib Reef,2017,TO,M,0.68728359,0.432444444,1,C,A,B
18032,Rib Reef,2018,TO,M,0.656404588,0.075573423,0.895442911,E,A,B
18032,Rib Reef,2019,TO,M,0.321781617,0.085520606,0.868197487,E,A,D
18032,Rib Reef,2020,TO,M,0.321781617,0.130010344,0.758271044,E,B,D
18032,Rib Reef,2021,TO,M,0.665626118,0.149738083,1,E,A,B
18032,Rib Reef,2022,TO,M,0.617759316,0.201656486,1,D,A,B
18032,Rib Reef,2023,TO,M,0.741964814,0.314477872,1,D,A,B
18032,Rib Reef,2024,TO,M,0.741964814,0.378828541,1,D,A,B
18032,Rib Reef,2025,TO,M,0.770173893,0.454464355,1,C,A,B
